No.	NAME	SpMax1_Bh(m)	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax6_Bh(m)	SpMax7_Bh(m)	SpMax8_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax8_Bh(v)	SpMax1_Bh(e)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax6_Bh(e)	SpMax7_Bh(e)	SpMax1_Bh(p)	SpMax5_Bh(p)	SpMax7_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax8_Bh(i)	SpMax2_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin5_Bh(m)	SpMin6_Bh(m)	SpMin7_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin5_Bh(v)	SpMin6_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(e)	SpMin5_Bh(e)	SpMin8_Bh(e)	SpMin1_Bh(p)	SpMin2_Bh(p)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin7_Bh(p)	SpMin8_Bh(p)	SpMin4_Bh(i)	SpMin6_Bh(i)	SpMin7_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
11	Cefoperazone	4.1419397909902	3.9816199323631	3.90148035540321	3.80389184609086	3.47058724261873	3.38947521311686	3.3141864181192	3.90468838899739	3.83106459244982	2.98082025521121	4.02082727415759	3.8592258579881	3.8297609271928	3.50564917877437	3.38602820104878	3.91090876137682	3.40805880037127	3.18868605962382	4.05301377971065	3.95309864684053	3.19909204168817	7.49988559044843	7.42590145385064	7.42205815750214	7.35108800768842	6.99904900651372	6.47075318025594	2.01962859834222	1.93146179772221	1.9210342812749	1.72744549174667	1.70085119804194	1.65960590123407	1.51310084409567	1.22639482211783	2.04973929450554	1.72398333383279	1.67799629778839	1.92300779641168	1.87599658740441	1.75483255570146	1.47147139375209	1.07504114533719	2.06553733919209	2.0176028922357	1.97840683488159	1.78794191099893	1.56393495222614	1.37984240587809	1.53336093127033	1.35952893022022	1.28340757151741	1.31285677571951	1.18851394590457	1.15051009366335	0.994720109315083	0.917544835949456	0.760751092784568	0.672208751994629	0.539819239213813
12	Cefsulodin	4.74117165218577	4.11333492372626	3.89377226338031	3.79231996327168	3.40749050740404	3.31663507963419	3.20247608463459	3.96642958053516	3.88943441252541	2.94174824660699	4.07845729038848	3.89887563465941	3.75895097550656	3.36551267100917	3.21540908527169	4.02867281547223	3.40453298747842	2.99780009111526	4.08960788180621	4.00604648440824	3.15517622207076	7.60985931018922	7.43072461769177	7.42253647438114	6.99910750440546	6.99900000000001	6.999	2.03973447893031	2.02911785635219	1.89674183118757	1.6646352342015	1.46866932433112	1.37328620688623	1.1900731341295	1.18054905632457	2.09338486620369	1.65937499851766	1.49138531923251	1.96100556796178	1.93825785676104	1.83505321110126	1.47886676830239	0.988576957026806	2.10291182589968	2.0422025275683	1.98068732731921	1.75264036778185	1.30975394009822	1.29104264523133	1.6495090684467	1.16106308709454	1.01713985725118	1.32637550668675	1.22178816789825	1.11864163520857	0.905658123473398	0.809166809807505	0.528204157033886	0.217551799172359	0.217551799172359
13	SCE-796	4.11840827873982	3.89395350769725	3.87903997210052	3.5601446570447	3.37749103244785	3.29934649300081	3.03743265572399	3.92955835976228	3.85830229618959	2.76632292215526	4.04424859915065	3.89217452843921	3.60901921420355	3.35238901680274	3.15347123999671	3.93015902957088	3.31008744567576	2.98524365971756	4.07932555755106	3.97268004600773	3.05582045294628	7.60666712273073	7.43038409062613	7.42226007423041	6.99909735101741	6.99899999999999	4.90850327576936	2.04410405923221	2.03433603194061	1.89699664727918	1.67220502015592	1.5292616930372	1.37691419122736	1.19054923339665	1.18054905632457	2.0905805936923	1.5839831787394	1.47542571721838	1.94995755146026	1.92409793842297	1.83503217202497	1.39812527363008	0.885927737636032	2.10224658587228	2.03384840141518	1.97746273709365	1.72741482761963	1.29730391597909	1.2147647110583	1.50980244428192	1.15415596023476	1.00553733974328	1.32453430514323	1.16962181684616	1.11651940676734	0.904089749832628	0.693326241221335	0.526598451814749	0.217551799172363	0.217551799172362
14	Cefsulodin	4.74117165218577	4.11333492372626	3.89377226338031	3.79231996327168	3.40749050740404	3.31663507963419	3.20247608463459	3.96642958053516	3.88943441252541	2.94174824660699	4.07845729038848	3.89887563465941	3.75895097550656	3.36551267100917	3.21540908527169	4.02867281547223	3.40453298747842	2.99780009111526	4.08960788180621	4.00604648440824	3.15517622207076	7.60985931018922	7.43072461769177	7.42253647438114	6.99910750440546	6.99900000000001	6.999	2.03973447893031	2.02911785635219	1.89674183118757	1.6646352342015	1.46866932433112	1.37328620688623	1.1900731341295	1.18054905632457	2.09338486620369	1.65937499851766	1.49138531923251	1.96100556796178	1.93825785676104	1.83505321110126	1.47886676830239	0.988576957026806	2.10291182589968	2.0422025275683	1.98068732731921	1.75264036778185	1.30975394009822	1.29104264523133	1.6495090684467	1.16106308709454	1.01713985725118	1.32637550668675	1.22178816789825	1.11864163520857	0.905658123473398	0.809166809807505	0.528204157033886	0.217551799172359	0.217551799172359
15	Cefsulodin	4.74117165218577	4.11333492372626	3.89377226338031	3.79231996327168	3.40749050740404	3.31663507963419	3.20247608463459	3.96642958053516	3.88943441252541	2.94174824660699	4.07845729038848	3.89887563465941	3.75895097550656	3.36551267100917	3.21540908527169	4.02867281547223	3.40453298747842	2.99780009111526	4.08960788180621	4.00604648440824	3.15517622207076	7.60985931018922	7.43072461769177	7.42253647438114	6.99910750440546	6.99900000000001	6.999	2.03973447893031	2.02911785635219	1.89674183118757	1.6646352342015	1.46866932433112	1.37328620688623	1.1900731341295	1.18054905632457	2.09338486620369	1.65937499851766	1.49138531923251	1.96100556796178	1.93825785676104	1.83505321110126	1.47886676830239	0.988576957026806	2.10291182589968	2.0422025275683	1.98068732731921	1.75264036778185	1.30975394009822	1.29104264523133	1.6495090684467	1.16106308709454	1.01713985725118	1.32637550668675	1.22178816789825	1.11864163520857	0.905658123473398	0.809166809807505	0.528204157033886	0.217551799172359	0.217551799172359
16	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
17	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
18	Cefsulodin	4.74117165218577	4.11333492372626	3.89377226338031	3.79231996327168	3.40749050740404	3.31663507963419	3.20247608463459	3.96642958053516	3.88943441252541	2.94174824660699	4.07845729038848	3.89887563465941	3.75895097550656	3.36551267100917	3.21540908527169	4.02867281547223	3.40453298747842	2.99780009111526	4.08960788180621	4.00604648440824	3.15517622207076	7.60985931018922	7.43072461769177	7.42253647438114	6.99910750440546	6.99900000000001	6.999	2.03973447893031	2.02911785635219	1.89674183118757	1.6646352342015	1.46866932433112	1.37328620688623	1.1900731341295	1.18054905632457	2.09338486620369	1.65937499851766	1.49138531923251	1.96100556796178	1.93825785676104	1.83505321110126	1.47886676830239	0.988576957026806	2.10291182589968	2.0422025275683	1.98068732731921	1.75264036778185	1.30975394009822	1.29104264523133	1.6495090684467	1.16106308709454	1.01713985725118	1.32637550668675	1.22178816789825	1.11864163520857	0.905658123473398	0.809166809807505	0.528204157033886	0.217551799172359	0.217551799172359
19	Cefsulodin	4.74117165218577	4.11333492372626	3.89377226338031	3.79231996327168	3.40749050740404	3.31663507963419	3.20247608463459	3.96642958053516	3.88943441252541	2.94174824660699	4.07845729038848	3.89887563465941	3.75895097550656	3.36551267100917	3.21540908527169	4.02867281547223	3.40453298747842	2.99780009111526	4.08960788180621	4.00604648440824	3.15517622207076	7.60985931018922	7.43072461769177	7.42253647438114	6.99910750440546	6.99900000000001	6.999	2.03973447893031	2.02911785635219	1.89674183118757	1.6646352342015	1.46866932433112	1.37328620688623	1.1900731341295	1.18054905632457	2.09338486620369	1.65937499851766	1.49138531923251	1.96100556796178	1.93825785676104	1.83505321110126	1.47886676830239	0.988576957026806	2.10291182589968	2.0422025275683	1.98068732731921	1.75264036778185	1.30975394009822	1.29104264523133	1.6495090684467	1.16106308709454	1.01713985725118	1.32637550668675	1.22178816789825	1.11864163520857	0.905658123473398	0.809166809807505	0.528204157033886	0.217551799172359	0.217551799172359
20	Nocardicin B	3.9616445413993	3.87826044742824	3.7433777000871	3.65634526097384	3.32862388412253	3.11657484901515	2.87188553019052	3.90815537220238	3.85230682161025	2.71516848112688	4.0122883080575	3.80780339452814	3.75865612381007	3.36723185017119	3.23816515765686	3.90062956958462	3.27492166431977	2.9541565726897	4.04361317821636	3.9498840779762	3.05267200552614	7.6057576415465	7.42346257126831	6.9990987642545	6.99899999999999	6.54154530723738	6.47065378369043	2.03537812290882	2.00507519970245	1.91455503624945	1.87919389129024	1.51905076871537	1.43678720095208	1.33278477692123	1.18054905632457	2.06311982633141	1.58753366245556	1.50528582401953	1.93480781024835	1.9053358629655	1.74616250691439	1.36668582768545	0.885927737636028	2.08059821417377	2.01305996604999	1.94697430413862	1.91115422404896	1.45774030789438	1.25925208545645	1.64133537335952	1.22558671954012	1.08766058195172	1.27264507557376	1.19879742078304	1.08773563168064	1.06427919078629	0.582405072287936	0.560690708781485	0.366493026441508	0.217551799172361
21	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
22	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
23	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
24	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
25	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
26	Cyclacillin	4.14655545123922	3.81973372604943	3.49614369982512	3.30785340631512	2.86910158371222	2.86601227090565	2.83199679848515	3.89027667827649	3.77064348574715	2.56952642080203	4.02253553790398	3.57095899062049	3.39290148856101	3.11105159519308	3.03080602933565	3.90836023373276	2.9946690613372	2.62018355960576	4.06020734966811	3.95063158671164	3.0091518667864	7.4325079476973	6.99904899564645	4.57495153648838	4.36565140166333	4.0609042890397	4.02070060738783	2.1067903217709	1.90329237827271	1.80617848292556	1.63049367255108	1.51322599753148	1.41678584666846	1.31770528195405	1.2173502478795	2.09437840436912	1.42854851819131	1.39437661713666	1.91023951183326	1.75944643286909	1.67442157659283	1.15344671690403	0.851574557796717	2.08950861439557	1.96640068782437	1.80423504164882	1.65325661404383	1.2834663284839	1.23919507919831	1.28835742171011	1.06390511335588	0.803551866786402	1.47597589518378	1.21526497653562	1.17371040271628	0.824907350936018	0.824619515792877	0.469096288294858	0.459047850437456	0.20856887067804
27	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
28	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
29	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
30	Cefoperazone	4.1419397909902	3.9816199323631	3.90148035540321	3.80389184609086	3.47058724261873	3.38947521311686	3.3141864181192	3.90468838899739	3.83106459244982	2.98082025521121	4.02082727415759	3.8592258579881	3.8297609271928	3.50564917877437	3.38602820104878	3.91090876137682	3.40805880037127	3.18868605962382	4.05301377971065	3.95309864684053	3.19909204168817	7.49988559044843	7.42590145385064	7.42205815750214	7.35108800768842	6.99904900651372	6.47075318025594	2.01962859834222	1.93146179772221	1.9210342812749	1.72744549174667	1.70085119804194	1.65960590123407	1.51310084409567	1.22639482211783	2.04973929450554	1.72398333383279	1.67799629778839	1.92300779641168	1.87599658740441	1.75483255570146	1.47147139375209	1.07504114533719	2.06553733919209	2.0176028922357	1.97840683488159	1.78794191099893	1.56393495222614	1.37984240587809	1.53336093127033	1.35952893022022	1.28340757151741	1.31285677571951	1.18851394590457	1.15051009366335	0.994720109315083	0.917544835949456	0.760751092784568	0.672208751994629	0.539819239213813
31	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
32	Cefoperazone	4.1419397909902	3.9816199323631	3.90148035540321	3.80389184609086	3.47058724261873	3.38947521311686	3.3141864181192	3.90468838899739	3.83106459244982	2.98082025521121	4.02082727415759	3.8592258579881	3.8297609271928	3.50564917877437	3.38602820104878	3.91090876137682	3.40805880037127	3.18868605962382	4.05301377971065	3.95309864684053	3.19909204168817	7.49988559044843	7.42590145385064	7.42205815750214	7.35108800768842	6.99904900651372	6.47075318025594	2.01962859834222	1.93146179772221	1.9210342812749	1.72744549174667	1.70085119804194	1.65960590123407	1.51310084409567	1.22639482211783	2.04973929450554	1.72398333383279	1.67799629778839	1.92300779641168	1.87599658740441	1.75483255570146	1.47147139375209	1.07504114533719	2.06553733919209	2.0176028922357	1.97840683488159	1.78794191099893	1.56393495222614	1.37984240587809	1.53336093127033	1.35952893022022	1.28340757151741	1.31285677571951	1.18851394590457	1.15051009366335	0.994720109315083	0.917544835949456	0.760751092784568	0.672208751994629	0.539819239213813
33	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
34	Imipenem	4.088032739491	3.74509663850216	3.50113013867182	3.30389348750312	2.88207576094609	2.59880300312089	2.3054683597775	3.92100843595851	3.51083092194625	2.18430974589	4.03698966065231	3.54876277524966	3.25173329603043	3.02267287007328	2.6247517311391	3.92105316033177	2.95808532120104	2.37083515815955	4.066549041461	3.79865811926725	2.66951555143764	7.42733442852551	6.44950643491911	5.13658786067692	4.40267159153849	4.19415050584054	3.84322128518277	1.9746392181095	1.84890228391296	1.65910515273255	1.57191255614814	1.42933563176022	1.09814357663098	0.973055911611721	0.841568686117783	1.99597193522828	1.44343392494258	1.15819807567355	1.82919639738741	1.67514411564914	1.52639535576745	1.13692053231977	0.471148272231167	2.01015937862729	1.91172203377347	1.68947968676191	1.58234480250261	0.957761311758356	0.947034946303384	1.25821903762292	0.860068867957818	0.447081170579737	1.35628701816722	1.1170602678203	0.907253918473128	0.733579268812436	0.390773763398793	0.218423764089484	0.0184760464813314	0
35	Cefoperazone	4.1419397909902	3.9816199323631	3.90148035540321	3.80389184609086	3.47058724261873	3.38947521311686	3.3141864181192	3.90468838899739	3.83106459244982	2.98082025521121	4.02082727415759	3.8592258579881	3.8297609271928	3.50564917877437	3.38602820104878	3.91090876137682	3.40805880037127	3.18868605962382	4.05301377971065	3.95309864684053	3.19909204168817	7.49988559044843	7.42590145385064	7.42205815750214	7.35108800768842	6.99904900651372	6.47075318025594	2.01962859834222	1.93146179772221	1.9210342812749	1.72744549174667	1.70085119804194	1.65960590123407	1.51310084409567	1.22639482211783	2.04973929450554	1.72398333383279	1.67799629778839	1.92300779641168	1.87599658740441	1.75483255570146	1.47147139375209	1.07504114533719	2.06553733919209	2.0176028922357	1.97840683488159	1.78794191099893	1.56393495222614	1.37984240587809	1.53336093127033	1.35952893022022	1.28340757151741	1.31285677571951	1.18851394590457	1.15051009366335	0.994720109315083	0.917544835949456	0.760751092784568	0.672208751994629	0.539819239213813
36	Ceftazidime	4.22117754810688	4.10908098527412	3.84863258468219	3.693691770374	3.41880398739062	3.34523173887749	3.02289454980899	3.90816481630435	3.78269614809039	2.81442737673997	4.0319520676352	3.85584565357608	3.71800164784466	3.35605165817508	3.19268813949011	3.91498343775797	3.40851606447187	2.98652181401347	4.06867804298563	3.94240753177556	3.06253075536762	7.60615521290542	7.42337577413563	6.99909805747266	6.999	5.16429942160835	4.86971078969854	2.04096788322276	1.90193717992727	1.87499255002598	1.67303842009407	1.5497747870068	1.41678584666846	1.33587742912109	1.26424126083532	2.08555050350218	1.59944832035647	1.51813916252097	1.93764425735068	1.82866420399528	1.6761434253474	1.44341503460253	1.00315701679446	2.09477403204625	2.00109019423204	1.89355415228705	1.74891370019823	1.33767835418316	1.25242954407146	1.54496475937064	1.28347166696799	1.03461880965807	1.32200631740238	1.10936233455891	1.03141035648291	0.889591825506992	0.685891547458056	0.518905837015033	0.469096288294858	0.333026720568345
37	Ceftriaxone	4.22115902791079	4.12458064198147	3.92721036290282	3.61368566620565	3.38608004681177	3.34551726337441	3.05144641013599	3.87692291941398	3.76386329454215	2.90994519259092	3.99758191880526	3.76329681330757	3.58114809005233	3.24622599161781	3.20351376061024	3.89703972297893	3.21547478277222	2.98377175820509	4.02428689903054	3.88055883832477	3.17964078552027	7.50134751249747	7.42337469352764	7.35427760320851	6.99904878623764	5.16518396105101	4.90243831101451	1.92663788196335	1.70703688332597	1.67590293234002	1.60565583500357	1.5111676410051	1.38382179020482	1.33439078301171	1.19145793703865	2.02996564167972	1.53316877323389	1.49257130508907	1.88840052566294	1.63009866629386	1.57835225642256	1.30462698572121	1.04633814820353	2.04564814591387	1.86772459697028	1.80792517884668	1.643844950997	1.45818632670954	1.31739029912939	1.42835812024881	1.1016953612501	1.09975779222056	1.3107815010316	0.997683954267831	0.732952927077584	0.692275108758232	0.567712667277676	0.545546495721302	0.330889137183896	0.231799493235293
