No.	NAME	SpMaxA_EA(ed)	SpDiam_EA(ed)	SpMAD_EA(ed)	SpMax_EA(bo)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMax_EA(ri)	SpDiam_EA(ri)	SpMAD_EA(ri)	SpDiam_AEA(ed)	SpMAD_AEA(ed)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(dm)	SpDiam_AEA(dm)	SpMAD_AEA(dm)	SpMAD_AEA(ri)	Chi0_EA(dm)	Chi1_EA(dm)	SM04_EA(ed)	SM05_EA(bo)	SM09_EA(bo)	SM02_EA(dm)	SM03_EA(dm)	SM07_EA(dm)	SM08_EA(dm)	SM15_EA(dm)	SM05_EA(ri)	SM09_EA(ri)	SM15_EA(ri)	SM04_AEA(ed)	SM15_AEA(ed)	SM06_AEA(bo)	SM10_AEA(bo)	SM11_AEA(bo)	SM13_AEA(bo)	SM14_AEA(bo)	SM04_AEA(dm)	SM11_AEA(dm)	SM12_AEA(dm)	SM13_AEA(dm)	SM15_AEA(dm)	SM03_AEA(ri)	SM06_AEA(ri)	SM12_AEA(ri)	SM13_AEA(ri)	SM15_AEA(ri)	Eig07_EA(bo)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig15_EA(dm)	Eig05_AEA(ed)	Eig07_AEA(ed)	Eig09_AEA(ed)	Eig02_AEA(bo)	Eig03_AEA(bo)	Eig04_AEA(bo)	Eig13_AEA(bo)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig04_AEA(dm)	Eig05_AEA(dm)	Eig06_AEA(dm)	Eig08_AEA(dm)	Eig09_AEA(dm)	Eig13_AEA(dm)	Eig04_AEA(ri)	Eig12_AEA(ri)
11	Cefoperazone	0.26589885258982	20.7631449243113	4.57724930571743	3.9359343719657	6.9359343719657	1.84791982233025	0.0719570138515592	37.3470460907043	0.778063460223005	3.24399476646206	5.24399476646206	1.44417266481608	6.76645130191257	1.62384722932049	4.61059391569086	1.55237973950378	4.62150103251509	6.62150103251509	1.72126220066558	1.52176209466927	35.3030860196187	34.371892590043	11.4510181458492	8.08930991346071	13.4439311412498	4.34093897986906	2.59520694462223	5.74392614262162	11.111975323687	13.4940817760896	6.97232542461965	11.4435652064234	18.195607115214	9.6899848782586	30.2443511624817	10.6736634079404	3.14513057779892	2.98127817739334	2.73429119749426	2.51580303164873	1.84215660352151	10.5610783977901	10.0114439523115	9.5305003943034	8.07453686000487	5.83260822650633	4.69977769771658	3.8109796749885	3.72407298103237	3.31390432683503	2.86775158551195	3.26353630445237	2.08997532230493	1.9766117666097	1.72100974736244	1.43666279968544	1.2	1.06192538102301	0.815291938697657	0.417136526515771	0.292820323027551	0.145494185971568	0	6.03353149167383	5.26289252416229	4.98070852572476	4.35052235050648	4.22738655557912	4.18874308631733	2.65542709098355	4.45015382160932	4.0295652041178	3.85912701916783	3.76000440227252	3.60459841615123	3.13378887949685	2.98852853749578	2.43080597292122	3.76106090301781	2.41710071118625
12	Cefsulodin	0.329470269299075	20.8493405026639	4.69978092152978	4.56124798824491	7.56124798824491	1.97162360476375	0.0880705886153891	26.8493958010044	0.688446046179599	3.25164073178182	5.25164073178182	1.47665748435015	7.18185519579805	1.61256912239047	4.81721240280448	1.55602387852081	4.83914860425337	6.83914860425337	1.70242804818823	1.53656683154215	25.3056402977631	28.1006357732551	11.4543319041523	8.32944694757705	14.1016417546015	3.99861529461275	2.85658973930602	7.05198487732133	10.6543374607906	15.2647788478538	6.90051543443984	11.424662802656	18.2621845469588	9.56022229550732	30.6327629572291	10.6789503365531	3.40320271649791	2.83743279011074	2.46072515010184	2.34630855907672	1.47867521949591	12.7052099090716	9.65016007178444	8.22812755231648	6.99922499559005	5.35698038340582	3.06228835467946	3.94851136896507	3.7450838376939	3.31060946723281	2.74157300450239	2.73720570597579	1.98341645855399	1.43666279968544	1.19442234513462	0.979795897113271	0.925243550084646	0.554698361501184	0.161628838941703	0	0	0	0	5.70245480872905	5.1608073396636	4.85883576553615	4.61054839720017	4.17911560033263	4.07257771993109	2.5	4.61027402328476	3.79958964968432	3.61481635585932	3.4997656815636	3.40876576948484	2.65634161137611	2.55265077459678	1.60486451548144	3.73474385757129	2.21289436626904
13	SCE-796	0.335985359506129	20.7674436612329	4.53685207879693	3.94922979179475	6.94922979179476	1.92580776145129	0.090388235519323	28.8735922355607	0.759831374620019	3.25029571649231	5.25029571649231	1.47696471179257	7.02847292947346	1.61157053310336	4.61403261235788	1.55186080447976	4.61173421813216	6.61173421813216	1.67229836394526	1.52303061997825	24.9709056734686	27.6878162781259	11.2332247895934	7.84154205847305	13.211831711466	4.041467558288	2.97171167511151	6.82617199586975	10.6277826639575	14.6171807315575	6.79115662916386	11.3282943351551	18.1496448164938	9.43436353631741	30.102283004123	10.4671504968176	3.07327731921386	2.83025361757555	2.34694095585906	2.16961545293799	1.41131089401355	10.659107124	9.62142455253625	8.22759563182535	6.05319371854467	5.01471212750269	2.98259721021775	3.74605244140659	3.6946758718848	3.01612766682758	2.38032017687706	2.58739321280301	1.98957026930366	1.88584527050393	1.43666279968544	0.979795897113271	0.926419615038526	0.575540169127658	0.475586113186534	0.0124478964200287	0	0	0	5.41960343287943	5.00599618466012	4.73014117777619	4.30479776645633	4.17536099532272	4.05603975616806	2.5	4.03942563162075	3.79077751760315	3.61121625577734	3.4997544154855	3.36745129457611	2.65938321209116	2.64750570495956	1.68005157065958	3.72845080110693	2.21110661696024
14	Cefsulodin	0.329470269299075	20.8493405026639	4.69978092152978	4.56124798824491	7.56124798824491	1.97162360476375	0.0880705886153891	26.8493958010044	0.688446046179599	3.25164073178182	5.25164073178182	1.47665748435015	7.18185519579805	1.61256912239047	4.81721240280448	1.55602387852081	4.83914860425337	6.83914860425337	1.70242804818823	1.53656683154215	25.3056402977631	28.1006357732551	11.4543319041523	8.32944694757705	14.1016417546015	3.99861529461275	2.85658973930602	7.05198487732133	10.6543374607906	15.2647788478538	6.90051543443984	11.424662802656	18.2621845469588	9.56022229550732	30.6327629572291	10.6789503365531	3.40320271649791	2.83743279011074	2.46072515010184	2.34630855907672	1.47867521949591	12.7052099090716	9.65016007178444	8.22812755231648	6.99922499559005	5.35698038340582	3.06228835467946	3.94851136896507	3.7450838376939	3.31060946723281	2.74157300450239	2.73720570597579	1.98341645855399	1.43666279968544	1.19442234513462	0.979795897113271	0.925243550084646	0.554698361501184	0.161628838941703	0	0	0	0	5.70245480872905	5.1608073396636	4.85883576553615	4.61054839720017	4.17911560033263	4.07257771993109	2.5	4.61027402328476	3.79958964968432	3.61481635585932	3.4997656815636	3.40876576948484	2.65634161137611	2.55265077459678	1.60486451548144	3.73474385757129	2.21289436626904
15	Cefsulodin	0.329470269299075	20.8493405026639	4.69978092152978	4.56124798824491	7.56124798824491	1.97162360476375	0.0880705886153891	26.8493958010044	0.688446046179599	3.25164073178182	5.25164073178182	1.47665748435015	7.18185519579805	1.61256912239047	4.81721240280448	1.55602387852081	4.83914860425337	6.83914860425337	1.70242804818823	1.53656683154215	25.3056402977631	28.1006357732551	11.4543319041523	8.32944694757705	14.1016417546015	3.99861529461275	2.85658973930602	7.05198487732133	10.6543374607906	15.2647788478538	6.90051543443984	11.424662802656	18.2621845469588	9.56022229550732	30.6327629572291	10.6789503365531	3.40320271649791	2.83743279011074	2.46072515010184	2.34630855907672	1.47867521949591	12.7052099090716	9.65016007178444	8.22812755231648	6.99922499559005	5.35698038340582	3.06228835467946	3.94851136896507	3.7450838376939	3.31060946723281	2.74157300450239	2.73720570597579	1.98341645855399	1.43666279968544	1.19442234513462	0.979795897113271	0.925243550084646	0.554698361501184	0.161628838941703	0	0	0	0	5.70245480872905	5.1608073396636	4.85883576553615	4.61054839720017	4.17911560033263	4.07257771993109	2.5	4.61027402328476	3.79958964968432	3.61481635585932	3.4997656815636	3.40876576948484	2.65634161137611	2.55265077459678	1.60486451548144	3.73474385757129	2.21289436626904
16	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
17	Ceftazidime	0.319164000621852	20.7665600248741	4.63479300840724	3.96172349749304	6.96172349749304	1.90224841257574	0.0858688233997052	28.9284005769106	0.723210014422764	3.24651797187229	5.18288784676214	1.43649330917115	7.02823842649516	1.60744517230068	4.61469119014918	1.56390277078008	4.61143154105616	6.61143154105616	1.71167428724681	1.52736765271085	27.2497445778988	28.9064413323181	11.4130277786302	7.99127508020876	13.3997513934908	4.10826390381091	2.6189945541978	6.38821297846394	10.6686503209383	14.3636331531808	6.91935296507155	11.4883297952987	18.3611293943549	9.56345899971214	30.5163113944209	10.5887580905082	3.33565483108356	3.00177770017567	2.47547605934945	2.38337851033949	1.46252801286827	11.9307875136807	10.0500985627495	9.5799660161651	6.70889833603582	5.13149305597397	3.46702489263852	3.93257806367464	3.52737934580776	3.29946021691022	2.35234135543519	2.59977363256537	2.19025154952501	1.98404045370333	1.43666279968544	1.06203494770133	0.922938816307748	0.548855695825131	0.171256782093475	0	0	0	0	5.45136308629651	5.03522381988553	4.73589475749694	4.44204756550355	4.33572232259826	4.09534792859301	2.5	4.31934505318202	3.82463123764822	3.76468695965947	3.61261622768076	3.44371917936329	2.75708463931057	2.65326824066965	1.89910177587629	3.76917797725054	2.25617846498333
18	Cefsulodin	0.329470269299075	20.8493405026639	4.69978092152978	4.56124798824491	7.56124798824491	1.97162360476375	0.0880705886153891	26.8493958010044	0.688446046179599	3.25164073178182	5.25164073178182	1.47665748435015	7.18185519579805	1.61256912239047	4.81721240280448	1.55602387852081	4.83914860425337	6.83914860425337	1.70242804818823	1.53656683154215	25.3056402977631	28.1006357732551	11.4543319041523	8.32944694757705	14.1016417546015	3.99861529461275	2.85658973930602	7.05198487732133	10.6543374607906	15.2647788478538	6.90051543443984	11.424662802656	18.2621845469588	9.56022229550732	30.6327629572291	10.6789503365531	3.40320271649791	2.83743279011074	2.46072515010184	2.34630855907672	1.47867521949591	12.7052099090716	9.65016007178444	8.22812755231648	6.99922499559005	5.35698038340582	3.06228835467946	3.94851136896507	3.7450838376939	3.31060946723281	2.74157300450239	2.73720570597579	1.98341645855399	1.43666279968544	1.19442234513462	0.979795897113271	0.925243550084646	0.554698361501184	0.161628838941703	0	0	0	0	5.70245480872905	5.1608073396636	4.85883576553615	4.61054839720017	4.17911560033263	4.07257771993109	2.5	4.61027402328476	3.79958964968432	3.61481635585932	3.4997656815636	3.40876576948484	2.65634161137611	2.55265077459678	1.60486451548144	3.73474385757129	2.21289436626904
19	Cefsulodin	0.329470269299075	20.8493405026639	4.69978092152978	4.56124798824491	7.56124798824491	1.97162360476375	0.0880705886153891	26.8493958010044	0.688446046179599	3.25164073178182	5.25164073178182	1.47665748435015	7.18185519579805	1.61256912239047	4.81721240280448	1.55602387852081	4.83914860425337	6.83914860425337	1.70242804818823	1.53656683154215	25.3056402977631	28.1006357732551	11.4543319041523	8.32944694757705	14.1016417546015	3.99861529461275	2.85658973930602	7.05198487732133	10.6543374607906	15.2647788478538	6.90051543443984	11.424662802656	18.2621845469588	9.56022229550732	30.6327629572291	10.6789503365531	3.40320271649791	2.83743279011074	2.46072515010184	2.34630855907672	1.47867521949591	12.7052099090716	9.65016007178444	8.22812755231648	6.99922499559005	5.35698038340582	3.06228835467946	3.94851136896507	3.7450838376939	3.31060946723281	2.74157300450239	2.73720570597579	1.98341645855399	1.43666279968544	1.19442234513462	0.979795897113271	0.925243550084646	0.554698361501184	0.161628838941703	0	0	0	0	5.70245480872905	5.1608073396636	4.85883576553615	4.61054839720017	4.17911560033263	4.07257771993109	2.5	4.61027402328476	3.79958964968432	3.61481635585932	3.4997656815636	3.40876576948484	2.65634161137611	2.55265077459678	1.60486451548144	3.73474385757129	2.21289436626904
20	Nocardicin B	0.305910563027858	19.0937702487846	4.27623292705792	3.88970532304191	6.88970532304191	1.86139615140853	0.0648005409863833	23.4585042354622	0.617329058827954	3.16145995641132	5.16145995641132	1.44404511999725	6.479334510649	1.59010894142453	4.42580608463996	1.51502469896104	4.04537522761314	6.04537522761314	1.62004132447541	1.48737399728019	27.8422690217305	28.2245827408774	10.9495601563596	7.74218498437598	13.0331242253109	3.62143538261684	3.14642555488977	6.92535348214026	7.96156063192094	13.9948363816291	6.66032659142279	11.0620459601977	17.6863314657073	9.31352852977236	29.5294460998246	10.3633836315391	2.98590621827513	2.74638870415695	2.47648392557838	2.36034374899009	1.36824166297957	9.93369366177875	8.97195828392511	7.42144279665689	6.35478166456286	4.99601012622216	2.62345509107711	3.75933556135079	3.41104354387061	2.98877934988069	2.52789696141849	2.37394579187914	1.98461773084852	1.69705627484771	1.06262236591035	0.86	0.856879420857458	0.246075920606423	0.159148235966687	0	0	0	0	5.38236994445006	5.03249587494047	4.61171338793062	4.33201396908621	4.03339134689017	3.86556803760416	2.47391755569613	3.84676685624302	3.72791090862262	3.70055423614751	3.37428895865207	2.89615693947597	2.53083364116576	2.45121523759372	1.53429124920847	3.6337350825715	2
21	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
22	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
23	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
24	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
25	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
26	Cyclacillin	0.562608194280203	22.0652048570051	5.22168793396155	3.77833862451498	5.77833862451498	1.70615294368616	0.126085230906027	20.7641850350606	0.830567401402422	3.40422993886262	5.40422993886262	1.51427637996561	7.37759287240105	1.70135596819802	4.69243559773589	1.60597371908192	4.95163666697048	6.95163666697048	1.74946657940056	1.58126325783232	14.6886963564573	15.8274524211704	11.5424939759025	7.41517510961329	12.5915016991001	3.77722452467212	2.87009648558758	6.42320918030299	9.95168140143702	13.6622497366478	6.91935138351941	11.7494334665113	18.9885708106009	9.41189249704692	31.1289437805948	10.205848855957	3.41760280099307	2.99454321082165	1.84531076641781	1.51716935860833	0.466158235956927	12.9779247126808	10.9986712581451	7.24855518813301	4.45568843472192	2.95989018532476	-0.809868023325526	3.59601717281647	3.18438456992371	2.0899718517623	1.53262659839334	2.37723148747489	1.99636392198611	1.93348381471737	0.610049236009073	0.272462606734236	0.0403706779579205	0	0	0	0	0	0	5.04495094815768	4.64406914138691	3.73205080756888	4.48620708063055	4.08236531792864	3.47712381063332	0.616545182918686	4.05168289168251	3.90462459231199	3.71455529220625	3.1734052062663	2.7128502313704	1.85706188456289	1.5779619425165	0.375811769160315	3.18872447535773	0.549519784110515
27	Imipenem	0.622119732221572	21.064514376653	4.50592654566343	3.97465343528978	6.60255229854251	1.72615831980133	0.155827831035313	16.1068302890233	0.76699191852492	3.36341821503201	5.30309615510045	1.41067832363812	7.23977037558326	1.65847197183796	4.6591615628233	1.52675444918757	4.50783633431128	6.32192965849874	1.66877457854963	1.49777790231947	16.3188125788176	17.5034696179428	10.8627036652617	7.1316985104669	12.567777418643	3.54596128609475	1.66785775256349	4.53900891097947	10.1869194174939	9.93550444389614	6.26528010985345	11.0304416490606	18.22638264378	8.905037290767	29.9812251816294	9.82075790493713	2.77649335280442	2.05459852431012	1.71447814583875	1.41323607528004	0.140837197871042	9.71903489484596	6.19892866114807	5.53999010129866	3.29432825151437	1.79850854768835	-1.14120379868403	3.28160522001997	2.36893085220602	2.09648022709938	1.2487214735134	1.94041790018233	1.43666279968544	0.848528137423857	0.555421855478468	0	0	0	0	0	0	0	0	4.71418236146045	3.72384730415456	3.08868070727275	4.05691531949712	3.29397821513212	3.12375049876982	0.324911387705518	4.00605535438797	3.54238866116415	2.90759023828413	2.60216081074583	2.35600079685096	1.66154501283604	0.957161110659233	-0.0643593426213084	2.92999740629091	0.0734745499316499
28	Ceftazidime	0.319164000621852	20.7665600248741	4.63479300840724	3.96172349749304	6.96172349749304	1.90224841257574	0.0858688233997052	28.9284005769106	0.723210014422764	3.24651797187229	5.18288784676214	1.43649330917115	7.02823842649516	1.60744517230068	4.61469119014918	1.56390277078008	4.61143154105616	6.61143154105616	1.71167428724681	1.52736765271085	27.2497445778988	28.9064413323181	11.4130277786302	7.99127508020876	13.3997513934908	4.10826390381091	2.6189945541978	6.38821297846394	10.6686503209383	14.3636331531808	6.91935296507155	11.4883297952987	18.3611293943549	9.56345899971214	30.5163113944209	10.5887580905082	3.33565483108356	3.00177770017567	2.47547605934945	2.38337851033949	1.46252801286827	11.9307875136807	10.0500985627495	9.5799660161651	6.70889833603582	5.13149305597397	3.46702489263852	3.93257806367464	3.52737934580776	3.29946021691022	2.35234135543519	2.59977363256537	2.19025154952501	1.98404045370333	1.43666279968544	1.06203494770133	0.922938816307748	0.548855695825131	0.171256782093475	0	0	0	0	5.45136308629651	5.03522381988553	4.73589475749694	4.44204756550355	4.33572232259826	4.09534792859301	2.5	4.31934505318202	3.82463123764822	3.76468695965947	3.61261622768076	3.44371917936329	2.75708463931057	2.65326824066965	1.89910177587629	3.76917797725054	2.25617846498333
29	Ceftazidime	0.319164000621852	20.7665600248741	4.63479300840724	3.96172349749304	6.96172349749304	1.90224841257574	0.0858688233997052	28.9284005769106	0.723210014422764	3.24651797187229	5.18288784676214	1.43649330917115	7.02823842649516	1.60744517230068	4.61469119014918	1.56390277078008	4.61143154105616	6.61143154105616	1.71167428724681	1.52736765271085	27.2497445778988	28.9064413323181	11.4130277786302	7.99127508020876	13.3997513934908	4.10826390381091	2.6189945541978	6.38821297846394	10.6686503209383	14.3636331531808	6.91935296507155	11.4883297952987	18.3611293943549	9.56345899971214	30.5163113944209	10.5887580905082	3.33565483108356	3.00177770017567	2.47547605934945	2.38337851033949	1.46252801286827	11.9307875136807	10.0500985627495	9.5799660161651	6.70889833603582	5.13149305597397	3.46702489263852	3.93257806367464	3.52737934580776	3.29946021691022	2.35234135543519	2.59977363256537	2.19025154952501	1.98404045370333	1.43666279968544	1.06203494770133	0.922938816307748	0.548855695825131	0.171256782093475	0	0	0	0	5.45136308629651	5.03522381988553	4.73589475749694	4.44204756550355	4.33572232259826	4.09534792859301	2.5	4.31934505318202	3.82463123764822	3.76468695965947	3.61261622768076	3.44371917936329	2.75708463931057	2.65326824066965	1.89910177587629	3.76917797725054	2.25617846498333
30	Cefoperazone	0.26589885258982	20.7631449243113	4.57724930571743	3.9359343719657	6.9359343719657	1.84791982233025	0.0719570138515592	37.3470460907043	0.778063460223005	3.24399476646206	5.24399476646206	1.44417266481608	6.76645130191257	1.62384722932049	4.61059391569086	1.55237973950378	4.62150103251509	6.62150103251509	1.72126220066558	1.52176209466927	35.3030860196187	34.371892590043	11.4510181458492	8.08930991346071	13.4439311412498	4.34093897986906	2.59520694462223	5.74392614262162	11.111975323687	13.4940817760896	6.97232542461965	11.4435652064234	18.195607115214	9.6899848782586	30.2443511624817	10.6736634079404	3.14513057779892	2.98127817739334	2.73429119749426	2.51580303164873	1.84215660352151	10.5610783977901	10.0114439523115	9.5305003943034	8.07453686000487	5.83260822650633	4.69977769771658	3.8109796749885	3.72407298103237	3.31390432683503	2.86775158551195	3.26353630445237	2.08997532230493	1.9766117666097	1.72100974736244	1.43666279968544	1.2	1.06192538102301	0.815291938697657	0.417136526515771	0.292820323027551	0.145494185971568	0	6.03353149167383	5.26289252416229	4.98070852572476	4.35052235050648	4.22738655557912	4.18874308631733	2.65542709098355	4.45015382160932	4.0295652041178	3.85912701916783	3.76000440227252	3.60459841615123	3.13378887949685	2.98852853749578	2.43080597292122	3.76106090301781	2.41710071118625
31	Ceftazidime	0.319164000621852	20.7665600248741	4.63479300840724	3.96172349749304	6.96172349749304	1.90224841257574	0.0858688233997052	28.9284005769106	0.723210014422764	3.24651797187229	5.18288784676214	1.43649330917115	7.02823842649516	1.60744517230068	4.61469119014918	1.56390277078008	4.61143154105616	6.61143154105616	1.71167428724681	1.52736765271085	27.2497445778988	28.9064413323181	11.4130277786302	7.99127508020876	13.3997513934908	4.10826390381091	2.6189945541978	6.38821297846394	10.6686503209383	14.3636331531808	6.91935296507155	11.4883297952987	18.3611293943549	9.56345899971214	30.5163113944209	10.5887580905082	3.33565483108356	3.00177770017567	2.47547605934945	2.38337851033949	1.46252801286827	11.9307875136807	10.0500985627495	9.5799660161651	6.70889833603582	5.13149305597397	3.46702489263852	3.93257806367464	3.52737934580776	3.29946021691022	2.35234135543519	2.59977363256537	2.19025154952501	1.98404045370333	1.43666279968544	1.06203494770133	0.922938816307748	0.548855695825131	0.171256782093475	0	0	0	0	5.45136308629651	5.03522381988553	4.73589475749694	4.44204756550355	4.33572232259826	4.09534792859301	2.5	4.31934505318202	3.82463123764822	3.76468695965947	3.61261622768076	3.44371917936329	2.75708463931057	2.65326824066965	1.89910177587629	3.76917797725054	2.25617846498333
